Open Time,Open,High,Low,Close,Volume
2024-12-01 12:45:00,659.070,659.310,657.790,658.230,209.46
2024-12-01 13:00:00,658.240,660.230,657.500,660.230,230.94
2024-12-01 13:15:00,660.230,661.000,659.830,660.470,203.35
2024-12-01 13:30:00,660.410,661.330,660.340,661.150,293.17
2024-12-01 13:45:00,661.080,662.390,660.560,661.980,302.40
2024-12-01 14:00:00,662.020,662.790,661.110,661.730,348.33
2024-12-01 14:15:00,661.690,662.010,659.820,660.490,304.77
2024-12-01 14:30:00,660.320,662.290,659.250,661.290,615.99
2024-12-01 14:45:00,661.290,662.180,660.960,661.700,137.89
2024-12-01 15:00:00,661.660,662.940,661.060,662.200,224.00
2024-12-01 15:15:00,662.170,663.680,661.880,663.580,224.66
2024-12-01 15:30:00,663.660,663.920,662.420,662.710,237.47
2024-12-01 15:45:00,662.720,663.920,662.210,663.350,237.01
2024-12-01 16:00:00,663.420,665.380,663.190,663.630,414.57
2024-12-01 16:15:00,663.550,663.900,662.100,663.200,250.14
2024-12-01 16:30:00,663.080,663.970,662.790,662.990,216.78
2024-12-01 16:45:00,662.990,664.590,662.310,662.430,290.19
2024-12-01 17:00:00,662.440,662.470,658.610,659.730,597.18
2024-12-01 17:15:00,659.730,659.740,657.490,657.750,431.63
2024-12-01 17:30:00,657.720,659.220,657.480,658.980,216.64
2024-12-01 17:45:00,658.990,660.480,658.970,660.280,103.36
2024-12-01 18:00:00,660.140,661.080,659.900,660.190,139.61
2024-12-01 18:15:00,660.190,660.210,658.770,659.520,161.15
2024-12-01 18:30:00,659.320,659.320,657.300,658.340,371.46
2024-12-01 18:45:00,658.340,658.630,657.190,657.640,185.77
2024-12-01 19:00:00,657.690,658.650,657.310,657.650,219.22
2024-12-01 19:15:00,657.560,658.400,657.040,657.560,235.74
2024-12-01 19:30:00,657.500,658.170,657.190,657.190,162.84
2024-12-01 19:45:00,657.190,659.570,656.820,659.300,335.88
