Open Time,Open,High,Low,Close,Volume
2024-12-01 12:45:00,237.6900,237.6900,237.0100,237.3500,1164.61
2024-12-01 13:00:00,237.3300,237.9000,236.5400,237.8700,1140.79
2024-12-01 13:15:00,237.8900,238.8330,237.7200,238.5700,3279.29
2024-12-01 13:30:00,238.6000,238.8600,237.8300,238.0700,2192.54
2024-12-01 13:45:00,238.0400,238.5900,237.7680,238.2400,6003.61
2024-12-01 14:00:00,238.2600,238.7800,237.6600,238.4800,1567.63
2024-12-01 14:15:00,238.4000,239.0900,238.2200,238.3400,2855.54
2024-12-01 14:30:00,238.3500,238.3700,237.2300,238.0200,1816.72
2024-12-01 14:45:00,238.0200,238.7700,237.9100,238.4900,1501.99
2024-12-01 15:00:00,238.4800,238.5300,237.5400,238.1600,3563.06
2024-12-01 15:15:00,238.1800,239.5500,238.0900,239.5400,4523.95
2024-12-01 15:30:00,239.5400,239.6900,238.9800,239.0800,3422.61
2024-12-01 15:45:00,239.0800,239.5600,238.4100,238.9300,2446.15
2024-12-01 16:00:00,238.8900,239.6900,238.8600,239.4000,8221.89
2024-12-01 16:15:00,239.3900,239.7710,239.0000,239.6100,2914.38
2024-12-01 16:30:00,239.6200,239.7000,239.1700,239.3000,1738.82
2024-12-01 16:45:00,239.3000,239.3900,238.3100,238.4200,1222.56
2024-12-01 17:00:00,238.4100,238.4100,237.2000,237.4600,3430.87
2024-12-01 17:15:00,237.3800,237.4300,236.6200,236.8500,7423.57
2024-12-01 17:30:00,236.8300,237.4300,236.8000,236.8500,1407.66
2024-12-01 17:45:00,236.8600,237.4200,236.7400,237.4000,2365.06
2024-12-01 18:00:00,237.3500,238.0100,237.1300,237.5800,1698.26
2024-12-01 18:15:00,237.5700,237.7300,237.1500,237.7300,1228.84
2024-12-01 18:30:00,237.7200,237.7800,237.0600,237.2300,936.53
2024-12-01 18:45:00,237.2300,237.2400,236.2500,236.5300,2124.28
2024-12-01 19:00:00,236.5100,237.3500,236.0100,236.6600,2083.51
2024-12-01 19:15:00,236.6200,236.8500,235.3700,235.9000,6211.80
2024-12-01 19:30:00,235.9800,236.4300,235.6780,235.6900,4427.70
2024-12-01 19:45:00,235.6500,237.0200,235.3200,236.6600,3308.42
2024-12-01 20:00:00,236.6500,237.0000,235.3100,235.7500,4003.83
2024-12-01 20:15:00,235.8100,236.0500,234.8500,235.0000,2812.79
2024-12-01 20:30:00,235.0400,235.9400,234.6500,235.5400,2910.05
2024-12-01 20:45:00,235.5700,236.2700,235.3500,236.0500,2012.00
2024-12-01 21:00:00,236.0400,236.9900,235.4800,236.4600,2826.55
2024-12-01 21:15:00,236.4900,237.1900,236.3000,237.0100,3545.64
2024-12-01 21:30:00,237.0600,237.2600,236.6100,237.1600,3434.74
2024-12-01 21:45:00,237.1800,237.9700,237.1300,237.5800,2285.69
2024-12-01 22:00:00,237.6400,238.0000,237.0300,237.2100,2996.12
2024-12-01 22:15:00,237.1600,238.3700,236.7800,238.0700,6619.38
2024-12-01 22:30:00,238.0900,238.8300,237.8600,238.6000,3256.00
2024-12-01 22:45:00,238.6100,239.2000,238.5000,238.6800,2279.18
2024-12-01 23:00:00,238.7000,239.5000,238.3100,239.1600,2461.98
2024-12-01 23:15:00,239.1600,239.3700,238.2000,238.9200,2279.82
2024-12-01 23:30:00,238.9100,239.1700,238.2500,238.2900,1516.45
2024-12-01 23:45:00,238.3000,238.3000,236.9000,237.2400,1876.31
2024-12-02 00:00:00,237.2200,237.5700,235.5800,236.0700,5312.33
2024-12-02 00:15:00,236.1100,236.8000,235.3000,236.4100,3758.21
2024-12-02 00:30:00,236.3600,236.9200,236.0400,236.3300,1716.35
2024-12-02 00:45:00,236.3800,236.3900,234.6300,235.3400,4099.52
2024-12-02 01:00:00,235.4300,236.3700,234.9700,235.2800,4400.67
2024-12-02 01:15:00,235.2700,237.8600,235.1200,237.5500,6403.97
2024-12-02 01:30:00,237.5900,238.4000,235.8400,235.9900,6671.75
2024-12-02 01:45:00,236.0800,238.3900,235.6300,238.2400,3631.51
2024-12-02 02:00:00,238.2300,238.6600,236.2200,236.6000,6805.15
2024-12-02 02:15:00,236.4400,236.7500,234.7100,235.3200,5077.96
2024-12-02 02:30:00,235.3400,235.6200,234.6200,235.4200,3922.11
2024-12-02 02:45:00,235.4200,235.7800,233.5600,234.5000,5633.61
2024-12-02 03:00:00,234.4700,235.0800,234.0300,234.3700,4772.63
2024-12-02 03:15:00,234.3600,234.3900,233.0900,233.2900,5409.71
2024-12-02 03:30:00,233.3000,233.3200,230.8300,231.0500,14820.97
2024-12-02 03:45:00,231.0500,231.8100,228.0100,228.7700,19790.96
2024-12-02 04:00:00,228.7700,235.6200,227.2100,227.6500,56323.83
2024-12-02 04:15:00,227.7100,228.8700,226.2900,228.7100,15697.61
2024-12-02 04:30:00,228.6900,229.7800,228.2800,229.2300,7963.88
2024-12-02 04:45:00,229.1900,229.9400,228.6350,229.8200,10434.14
2024-12-02 05:00:00,229.7700,230.5700,229.2500,230.2200,3320.31
2024-12-02 05:15:00,230.2200,230.7000,229.7700,229.9300,3416.43
2024-12-02 05:30:00,229.9300,229.9300,228.5100,228.9300,3927.83
2024-12-02 05:45:00,228.9300,229.1000,228.3300,228.8800,8339.08
2024-12-02 06:00:00,228.8800,228.8900,227.5000,227.7400,10238.39
2024-12-02 06:15:00,227.7500,228.3520,226.4100,227.5100,18070.38
2024-12-02 06:30:00,227.5400,228.5900,227.4100,228.3300,4753.98
2024-12-02 06:45:00,228.3300,229.1400,228.1400,228.7700,3895.87
2024-12-02 07:00:00,228.8000,229.5000,228.4900,228.6500,2417.42
2024-12-02 07:15:00,228.6200,228.8900,227.2100,228.3900,5757.25
2024-12-02 07:30:00,228.3900,229.2000,227.7800,228.7700,4761.35
2024-12-02 07:45:00,228.7900,229.5500,228.7700,229.0300,3144.99
2024-12-02 08:00:00,229.0000,229.2100,228.0000,228.0300,3393.26
2024-12-02 08:15:00,228.0200,228.2500,225.8100,226.5900,14407.00
2024-12-02 08:30:00,226.6600,227.4400,224.3500,224.9000,20478.41
2024-12-02 08:45:00,224.9000,227.0000,223.4700,226.1500,15031.31
2024-12-02 09:00:00,226.1300,227.7500,225.6100,227.4700,7975.66
2024-12-02 09:15:00,227.4300,227.5900,226.7200,227.2100,3934.45
2024-12-02 09:30:00,227.2200,227.6000,226.1500,226.5200,3984.47
2024-12-02 09:45:00,226.5600,228.3000,226.2500,228.2200,2632.65
2024-12-02 10:00:00,228.2200,228.2700,226.4500,226.6100,3297.82
2024-12-02 10:15:00,226.5900,226.8800,226.0500,226.2600,3369.02
2024-12-02 10:30:00,226.2700,226.3700,224.6600,224.7800,5492.05
2024-12-02 10:45:00,224.7600,225.3300,223.2500,223.9700,7061.62
2024-12-02 11:00:00,223.9600,224.7000,223.3400,224.5700,13362.71
2024-12-02 11:15:00,224.5700,225.5200,224.5500,225.5100,3761.80
2024-12-02 11:30:00,225.5200,225.6200,224.9200,225.0400,3578.01
2024-12-02 11:45:00,225.0200,225.6100,224.1600,225.1100,4147.55
2024-12-02 12:00:00,225.1100,225.1800,224.3300,224.6400,3747.77
2024-12-02 12:15:00,224.6100,225.8000,224.2200,225.7300,3371.13
2024-12-02 12:30:00,225.7200,225.7400,223.8700,223.9700,4789.57
2024-12-02 12:45:00,223.9700,223.9800,222.0100,222.4800,22152.11
2024-12-02 13:00:00,222.4800,223.9500,222.0100,223.9500,10345.57
2024-12-02 13:15:00,223.9500,225.3200,223.7900,225.3200,7282.25
2024-12-02 13:30:00,225.3400,226.0000,225.1300,225.2900,6699.07
2024-12-02 13:45:00,225.2400,226.1700,224.8700,226.1700,5857.93
2024-12-02 14:00:00,226.1770,227.0300,225.6100,225.6900,5660.37
2024-12-02 14:15:00,225.6900,226.3300,224.6900,226.0300,3800.78
2024-12-02 14:30:00,226.1200,227.6400,226.1200,227.5400,7954.51
2024-12-02 14:45:00,227.5300,228.0900,225.6500,226.0500,6918.76
2024-12-02 15:00:00,226.1100,227.5000,224.6900,227.0100,10572.87
2024-12-02 15:15:00,226.9900,228.7700,226.9900,228.0800,10284.49
2024-12-02 15:30:00,227.9900,229.6600,227.5300,229.4800,13364.64
2024-12-02 15:45:00,229.4900,229.9100,227.8200,229.5100,12466.35
2024-12-02 16:00:00,229.5600,230.3400,229.0500,229.4100,12489.81
2024-12-02 16:15:00,229.4100,229.4600,226.6200,226.6600,9683.86
2024-12-02 16:30:00,226.6600,228.1700,224.9600,226.3000,9322.67
2024-12-02 16:45:00,226.3300,227.0900,225.9400,226.6400,5694.19
2024-12-02 17:00:00,226.6400,227.5400,225.9000,226.3500,4034.82
2024-12-02 17:15:00,226.3700,226.5300,223.6900,223.7200,11125.04
2024-12-02 17:30:00,223.7200,223.7400,221.3500,223.2000,20703.74
2024-12-02 17:45:00,223.2100,223.2300,220.2800,220.7800,10415.18
2024-12-02 18:00:00,220.8100,223.7400,220.6500,223.5100,9434.03
2024-12-02 18:15:00,223.5200,224.5000,223.0400,224.3500,5555.61
2024-12-02 18:30:00,224.3600,224.6700,223.8500,224.0700,2798.11
2024-12-02 18:45:00,224.1200,224.2500,223.6400,223.8200,2258.24
2024-12-02 19:00:00,223.8500,223.9100,222.1200,222.4300,4319.24
2024-12-02 19:15:00,222.4100,222.5300,220.8300,221.9600,8883.53
2024-12-02 19:30:00,221.9200,223.3100,221.9200,223.1300,3364.36
2024-12-02 19:45:00,223.1800,224.2600,222.9500,224.2600,5458.08
2024-12-02 20:00:00,224.2800,225.2300,223.8400,225.1400,4381.91
2024-12-02 20:15:00,225.1500,225.4500,224.6200,224.8900,5698.14
2024-12-02 20:30:00,224.9100,225.2000,223.3200,223.3700,3670.58
2024-12-02 20:45:00,223.3800,223.6600,222.4100,223.2600,6225.09
2024-12-02 21:00:00,223.2400,223.8100,222.3100,223.1800,3131.14
2024-12-02 21:15:00,223.2100,223.6100,221.9100,222.9000,4147.80
2024-12-02 21:30:00,222.9000,223.0800,221.5100,222.4400,3716.33
2024-12-02 21:45:00,222.4000,223.9200,222.3000,222.5000,5898.24
2024-12-02 22:00:00,222.4700,223.4400,222.0000,223.4100,4420.23
2024-12-02 22:15:00,223.4100,224.5600,223.3900,224.0900,5819.67
2024-12-02 22:30:00,224.0800,224.4000,223.3000,224.1900,2222.78
2024-12-02 22:45:00,224.2000,224.9600,223.7900,224.7300,1726.14
2024-12-02 23:00:00,224.7100,225.5800,224.3900,225.4300,2209.71
2024-12-02 23:15:00,225.4200,225.5100,224.3400,224.8800,2280.45
2024-12-02 23:30:00,224.8600,225.7100,224.5500,225.6000,2431.77
2024-12-02 23:45:00,225.5900,226.2000,225.1100,226.0500,1643.79
2024-12-03 00:00:00,226.0400,226.9320,225.4100,226.4600,3529.76
2024-12-03 00:15:00,226.5300,226.7100,225.2400,225.3800,3115.62
2024-12-03 00:30:00,225.3700,226.7000,224.7700,225.8200,3773.34
2024-12-03 00:45:00,225.8400,226.9400,225.5000,226.0500,3179.78
2024-12-03 01:00:00,226.0600,226.9800,225.2100,226.5100,4450.13
2024-12-03 01:15:00,226.4600,226.6100,224.6100,225.2100,3449.95
2024-12-03 01:30:00,225.2400,226.1000,225.0000,225.8400,2772.85
2024-12-03 01:45:00,225.9000,226.1100,224.1800,224.3100,3956.28
2024-12-03 02:00:00,224.3100,224.6600,223.4800,224.2000,1887.27
2024-12-03 02:15:00,224.2000,225.8930,224.1700,225.7000,4609.34
2024-12-03 02:30:00,225.7000,229.6500,225.5100,229.5600,10035.75
2024-12-03 02:45:00,229.5600,229.6700,227.8600,228.5300,7359.21
2024-12-03 03:00:00,228.5200,228.6400,227.7800,227.8800,2892.86
2024-12-03 03:15:00,227.8800,228.3400,227.3900,227.8700,2419.63
2024-12-03 03:30:00,227.8800,228.5900,227.7100,228.5000,2568.42
2024-12-03 03:45:00,228.4700,229.0000,227.9800,228.2900,5100.30
2024-12-03 04:00:00,228.2600,228.8300,227.5400,228.4700,5632.87
2024-12-03 04:15:00,228.4600,229.5100,228.3400,229.1000,4423.53
2024-12-03 04:30:00,229.1200,229.6000,228.6100,228.6800,5360.68
2024-12-03 04:45:00,228.7200,229.5800,228.6400,228.7400,2941.85
2024-12-03 05:00:00,228.7600,228.9300,227.9200,227.9800,2073.12
2024-12-03 05:15:00,227.9300,228.8300,227.4900,228.5500,2304.20
2024-12-03 05:30:00,228.5700,228.9700,228.1000,228.2400,3756.60
2024-12-03 05:45:00,228.2400,228.5200,228.0000,228.5200,1586.61
2024-12-03 06:00:00,228.4700,229.5300,228.3400,229.2200,3266.14
2024-12-03 06:15:00,229.2200,229.8600,229.1400,229.2500,7070.18
2024-12-03 06:30:00,229.2700,230.7500,229.2200,230.7300,7444.49
2024-12-03 06:45:00,230.7600,231.3300,226.7100,227.4600,9261.51
2024-12-03 07:00:00,227.4200,228.2000,225.3300,227.0800,17396.94
2024-12-03 07:15:00,227.1200,227.5800,225.3800,226.6800,10148.71
2024-12-03 07:30:00,226.7000,227.4300,225.4500,226.2400,5467.26
2024-12-03 07:45:00,226.2500,227.7700,225.6000,227.2400,5292.97
2024-12-03 08:00:00,227.2200,228.8400,227.1200,227.7100,4431.81
2024-12-03 08:15:00,227.7300,228.0300,227.1300,227.6100,4162.22
2024-12-03 08:30:00,227.5500,227.7500,226.1400,226.7500,4139.96
2024-12-03 08:45:00,226.7700,227.5000,226.0600,227.2600,2622.19
2024-12-03 09:00:00,227.2300,227.2300,226.2000,226.2300,2157.84
2024-12-03 09:15:00,226.2500,226.5100,225.6200,226.0600,4793.60
2024-12-03 09:30:00,226.0300,226.5000,225.4800,225.4800,3717.01
2024-12-03 09:45:00,225.4400,225.6600,224.5400,225.2500,7564.03
2024-12-03 10:00:00,225.2000,226.1000,225.2000,225.9700,2800.66
2024-12-03 10:15:00,226.0500,226.3600,225.6800,225.8400,4624.04
2024-12-03 10:30:00,225.8300,226.3900,225.2200,226.3100,4265.70
2024-12-03 10:45:00,226.3000,226.3200,223.2200,223.6000,5886.66
2024-12-03 11:00:00,223.5600,225.0300,223.2700,224.6600,3919.75
2024-12-03 11:15:00,224.6500,225.9500,224.6500,225.7000,4198.63
2024-12-03 11:30:00,225.7000,226.2500,225.1400,225.5700,2694.27
2024-12-03 11:45:00,225.5500,225.9800,225.3200,225.8900,1744.26
2024-12-03 12:00:00,225.8600,225.9800,224.9000,225.1400,3427.28
2024-12-03 12:15:00,225.1400,225.7100,224.5800,224.8600,6141.87
2024-12-03 12:30:00,224.8500,225.6100,224.2100,224.2300,2637.97
2024-12-03 12:45:00,224.3000,225.0500,224.1200,224.5900,3225.81
2024-12-03 13:00:00,224.5500,225.0000,223.6000,224.0500,4082.52
2024-12-03 13:15:00,224.0600,224.7900,223.7800,223.9500,4696.75
2024-12-03 13:30:00,223.9200,224.0100,222.1800,223.1400,10033.42
2024-12-03 13:45:00,223.1300,223.4800,216.0100,218.3700,47868.78
2024-12-03 14:00:00,218.3700,221.2500,217.7900,220.0200,17559.27
2024-12-03 14:15:00,220.0300,221.3200,218.7100,219.0300,12867.12
2024-12-03 14:30:00,219.0300,220.4600,215.1700,220.4500,31629.24
2024-12-03 14:45:00,220.4700,224.7400,220.4000,224.4600,27887.64
2024-12-03 15:00:00,224.5000,226.5800,224.1000,225.1100,19535.65
2024-12-03 15:15:00,225.1600,225.5800,222.2200,222.9300,18981.46
2024-12-03 15:30:00,222.9300,224.5600,222.3700,223.6500,8081.69
2024-12-03 15:45:00,223.6400,223.7400,222.6600,223.5400,5163.22
2024-12-03 16:00:00,223.5500,225.5700,223.3200,223.9200,26321.45
2024-12-03 16:15:00,223.9200,224.6900,223.2500,224.4800,6426.57
2024-12-03 16:30:00,224.4900,224.9630,223.0100,223.6600,4864.34
2024-12-03 16:45:00,223.6100,224.1600,221.8400,223.4000,10601.74
2024-12-03 17:00:00,223.3300,223.7400,221.7700,222.5100,5299.34
2024-12-03 17:15:00,222.4600,222.7800,220.6300,221.8500,6820.16
2024-12-03 17:30:00,221.8400,224.2400,221.3400,224.0500,5605.48
2024-12-03 17:45:00,224.0700,225.0500,223.6200,224.9400,3822.64
2024-12-03 18:00:00,224.9100,225.3300,224.0800,224.7600,12858.07
2024-12-03 18:15:00,224.7200,225.2400,224.5000,224.6500,6220.87
2024-12-03 18:30:00,224.6300,226.8500,224.5100,226.8500,5944.88
2024-12-03 18:45:00,226.8400,227.8900,226.6700,227.3400,6507.33
2024-12-03 19:00:00,227.3300,227.5900,225.4100,225.5500,5952.15
2024-12-03 19:15:00,225.5700,227.3900,224.8800,227.3500,6014.89
2024-12-03 19:30:00,227.3400,228.0200,226.7600,227.9800,11758.25
2024-12-03 19:45:00,227.9900,228.6700,227.6500,228.4200,7543.17
2024-12-03 20:00:00,228.4200,229.8100,227.9800,229.8000,9388.11
2024-12-03 20:15:00,229.7900,229.9900,229.2600,229.6800,5068.48
2024-12-03 20:30:00,229.6900,230.3800,229.2000,229.3000,23864.19
2024-12-03 20:45:00,229.2700,229.9700,228.7300,228.8800,8435.42
2024-12-03 21:00:00,228.8400,231.3600,228.1200,231.3200,14019.55
2024-12-03 21:15:00,231.3400,237.5400,230.9300,235.5700,109030.46
2024-12-03 21:30:00,235.5900,238.8000,235.2600,238.4900,30399.98
2024-12-03 21:45:00,238.4900,239.8400,237.4800,237.7600,30619.25
2024-12-03 22:00:00,237.7700,238.0800,235.2300,236.1700,21351.15
2024-12-03 22:15:00,236.1800,237.6800,235.8400,236.3200,11226.24
2024-12-03 22:30:00,236.3300,236.3800,234.7200,234.8900,9283.88
2024-12-03 22:45:00,234.9500,237.1300,234.9500,237.1300,7081.96
2024-12-03 23:00:00,237.1600,237.2200,234.6500,235.3600,9174.55
2024-12-03 23:15:00,235.3500,236.0400,233.9700,234.0500,12405.26
2024-12-03 23:30:00,234.0800,236.1120,234.0400,235.4500,4631.18
2024-12-03 23:45:00,235.4000,235.5000,234.1000,234.2600,3399.13
2024-12-04 00:00:00,234.3300,237.4700,234.2900,237.0400,12558.12
2024-12-04 00:15:00,237.0400,239.0800,236.7500,239.0200,8924.42
2024-12-04 00:30:00,239.0200,239.8600,237.0000,237.3300,11490.61
2024-12-04 00:45:00,237.2800,238.4600,236.6700,237.8400,5943.69
2024-12-04 01:00:00,237.8400,239.5100,236.4600,238.5700,13855.72
2024-12-04 01:15:00,238.5000,238.5900,236.1100,237.6800,10283.91
2024-12-04 01:30:00,237.6700,239.5600,237.0200,239.3900,8823.46
2024-12-04 01:45:00,239.3900,239.9600,238.8000,239.4600,20811.75
2024-12-04 02:00:00,239.4600,240.9700,236.4500,236.5400,33284.88
2024-12-04 02:15:00,236.5800,238.2000,236.1470,237.1100,6089.03
2024-12-04 02:30:00,237.1400,238.0100,236.5100,236.6200,3238.95
2024-12-04 02:45:00,236.6400,236.9100,235.4200,236.2800,5134.83
2024-12-04 03:00:00,236.2500,238.2800,236.0400,238.2300,6112.88
2024-12-04 03:15:00,238.2000,239.0400,238.0600,238.6500,7128.62
2024-12-04 03:30:00,238.6800,239.3700,238.4200,238.8300,5777.36
2024-12-04 03:45:00,238.8000,239.0100,237.8700,238.0400,2462.82
2024-12-04 04:00:00,238.0300,238.3800,237.3000,237.7400,4273.60
2024-12-04 04:15:00,237.7400,238.1100,237.2700,237.4400,2750.00
2024-12-04 04:30:00,237.4400,237.9700,236.9700,237.9500,4027.82
2024-12-04 04:45:00,237.9500,238.6500,237.6200,238.1000,2046.26
2024-12-04 05:00:00,238.1400,239.9300,237.9200,239.8100,17086.35
2024-12-04 05:15:00,239.8000,241.1600,239.5600,240.1000,12176.82
2024-12-04 05:30:00,240.0500,240.1300,238.3500,238.6100,3474.26
2024-12-04 05:45:00,238.6200,239.0400,238.1800,238.2500,3415.79
2024-12-04 06:00:00,238.2300,238.6900,236.6800,236.8500,11808.91
2024-12-04 06:15:00,236.7900,237.9000,236.1600,237.6100,7009.15
2024-12-04 06:30:00,237.6100,237.6800,236.6100,237.2600,2051.35
2024-12-04 06:45:00,237.2400,238.0800,237.0100,238.0800,2991.14
2024-12-04 07:00:00,238.1000,238.2000,237.2400,237.3700,1531.02
2024-12-04 07:15:00,237.3300,237.7900,236.9600,237.1500,2478.71
2024-12-04 07:30:00,237.1200,237.8000,237.0800,237.6700,1593.63
2024-12-04 07:45:00,237.6600,237.6600,236.5700,236.9800,2960.58
2024-12-04 08:00:00,237.0000,237.6700,236.0800,236.5900,6230.89
2024-12-04 08:15:00,236.5900,236.7600,236.0600,236.1900,2197.16
2024-12-04 08:30:00,236.1700,236.1700,235.3400,236.1400,3946.88
2024-12-04 08:45:00,236.1500,236.4800,235.6500,236.0500,3262.35
2024-12-04 09:00:00,236.0200,236.7300,235.7100,236.6500,2153.65
2024-12-04 09:15:00,236.6600,237.6000,236.5400,237.5400,2466.29
2024-12-04 09:30:00,237.5400,237.7100,236.7500,237.2300,2454.51
2024-12-04 09:45:00,237.2100,237.2300,235.8300,235.9600,3243.83
2024-12-04 10:00:00,235.9600,236.5900,235.6800,236.5600,2801.58
2024-12-04 10:15:00,236.5300,237.1100,236.5300,236.7200,1932.83
2024-12-04 10:30:00,236.7500,237.8500,236.2900,237.8000,3488.80
2024-12-04 10:45:00,237.7900,238.3000,236.7500,237.0200,3515.57
2024-12-04 11:00:00,237.0300,237.7100,236.2500,236.7400,2063.54
2024-12-04 11:15:00,236.8000,236.8900,235.9700,236.1600,2829.74
2024-12-04 11:30:00,236.1100,237.0300,236.0400,236.2600,2618.46
2024-12-04 11:45:00,236.2200,236.5300,235.8900,236.3700,1230.58
2024-12-04 12:00:00,236.3500,236.5100,233.5700,233.5800,7366.40
2024-12-04 12:15:00,233.6500,234.1500,232.0000,233.0500,11579.12
2024-12-04 12:30:00,233.1000,233.7500,232.3900,232.7900,3740.27
2024-12-04 12:45:00,232.8000,233.3800,232.6800,233.0600,3399.16
2024-12-04 13:00:00,233.0800,233.8800,232.2100,232.7100,4605.15
2024-12-04 13:15:00,232.6800,233.2400,231.5900,232.2200,4202.75
2024-12-04 13:30:00,232.0500,232.8600,231.6900,232.2500,3187.31
2024-12-04 13:45:00,232.2800,232.6900,230.9600,231.6100,7831.31
2024-12-04 14:00:00,231.5900,231.9200,230.2700,230.9200,4570.06
2024-12-04 14:15:00,230.8800,232.3900,230.5700,232.2600,11927.61
2024-12-04 14:30:00,232.2600,234.1300,231.9500,233.2100,9069.31
2024-12-04 14:45:00,233.1900,233.6500,232.3800,232.6900,6533.14
2024-12-04 15:00:00,232.6700,235.2200,231.0400,234.4200,16106.29
2024-12-04 15:15:00,234.3900,234.9810,233.4500,234.8200,6725.55
2024-12-04 15:30:00,234.7800,235.1200,233.8500,234.7900,8344.43
2024-12-04 15:45:00,234.8000,235.6500,233.1200,234.1800,16594.41
2024-12-04 16:00:00,234.2400,234.5000,230.7320,230.7500,13371.22
2024-12-04 16:15:00,230.7600,231.2000,228.5200,229.2700,21298.18
2024-12-04 16:30:00,229.2900,229.9210,227.0300,227.1900,12394.38
2024-12-04 16:45:00,227.1800,227.4600,225.1200,226.0300,15762.32
2024-12-04 17:00:00,226.0000,227.7200,224.7200,225.3800,13272.30
2024-12-04 17:15:00,225.3300,227.5250,225.0900,227.5250,8752.60
2024-12-04 17:30:00,227.5250,228.5800,226.5500,227.8900,9961.57
2024-12-04 17:45:00,227.9600,229.6800,226.9200,229.4200,11708.21
2024-12-04 18:00:00,229.4600,231.2900,229.2400,231.0800,8645.66
2024-12-04 18:15:00,231.1100,231.4600,229.4200,229.9200,4674.02
2024-12-04 18:30:00,229.9700,230.3800,228.6000,229.9300,6029.36
2024-12-04 18:45:00,230.0100,231.0100,230.0100,230.4800,4079.03
2024-12-04 19:00:00,230.4600,232.3600,230.0000,231.8200,6349.17
2024-12-04 19:15:00,231.8900,232.9400,231.7960,232.5700,4807.36
2024-12-04 19:30:00,232.6400,233.0800,232.0100,232.6800,2864.97
2024-12-04 19:45:00,232.7300,233.4000,232.5600,233.1900,9048.98
2024-12-04 20:00:00,233.2000,234.9000,232.3700,234.1900,18531.11
2024-12-04 20:15:00,234.2200,236.9200,234.1100,234.5200,15096.91
2024-12-04 20:30:00,234.5400,235.2300,232.5900,233.2100,8126.30
2024-12-04 20:45:00,233.1900,233.4600,230.8500,233.4300,13356.95
2024-12-04 21:00:00,233.4200,234.9200,232.6000,233.6900,12991.36
2024-12-04 21:15:00,233.7000,235.1400,233.0300,233.9300,5559.04
