Open Time,Open,High,Low,Close,Volume
2024-12-01 12:45:00,1.301800,1.309700,1.300600,1.302900,124568
2024-12-01 13:00:00,1.303100,1.309400,1.299600,1.308800,43357
2024-12-01 13:15:00,1.308900,1.314600,1.307100,1.313200,57420
2024-12-01 13:30:00,1.313000,1.314300,1.308600,1.309100,52317
2024-12-01 13:45:00,1.309300,1.309600,1.303600,1.305400,171520
2024-12-01 14:00:00,1.305400,1.311200,1.304200,1.310500,109804
2024-12-01 14:15:00,1.309800,1.317100,1.308300,1.316500,63757
2024-12-01 14:30:00,1.316600,1.324600,1.315400,1.317600,85314
2024-12-01 14:45:00,1.317500,1.326000,1.317400,1.324800,49117
2024-12-01 15:00:00,1.325000,1.330500,1.318500,1.322600,65809
2024-12-01 15:15:00,1.322600,1.334700,1.322100,1.333000,102195
2024-12-01 15:30:00,1.332900,1.333700,1.320600,1.322400,110158
2024-12-01 15:45:00,1.322600,1.326100,1.319000,1.323200,55260
2024-12-01 16:00:00,1.322900,1.324900,1.318500,1.323600,102289
2024-12-01 16:15:00,1.323200,1.323600,1.316300,1.320600,42809
2024-12-01 16:30:00,1.320500,1.324400,1.317500,1.318400,302617
2024-12-01 16:45:00,1.318500,1.325500,1.315600,1.316300,654305
2024-12-01 17:00:00,1.316300,1.316500,1.306700,1.309000,86469
2024-12-01 17:15:00,1.309700,1.310300,1.303100,1.306100,55321
2024-12-01 17:30:00,1.306400,1.310400,1.306400,1.309800,23993
2024-12-01 17:45:00,1.310000,1.312200,1.309400,1.310600,49497
2024-12-01 18:00:00,1.310300,1.315800,1.309800,1.313600,16811
2024-12-01 18:15:00,1.313600,1.316300,1.312000,1.315100,17151
2024-12-01 18:30:00,1.315300,1.316600,1.311200,1.315500,24443
2024-12-01 18:45:00,1.315100,1.318600,1.312300,1.314800,22964
2024-12-01 19:00:00,1.315600,1.318200,1.311400,1.317200,29991
2024-12-01 19:15:00,1.317000,1.319300,1.310800,1.314600,38146
2024-12-01 19:30:00,1.314700,1.316200,1.310900,1.311300,26236
2024-12-01 19:45:00,1.311200,1.317700,1.308800,1.315700,77581
2024-12-01 20:00:00,1.316200,1.316800,1.301100,1.303100,126883
2024-12-01 20:15:00,1.302800,1.307500,1.296700,1.298800,95080
2024-12-01 20:30:00,1.298800,1.304500,1.293800,1.301100,68239
2024-12-01 20:45:00,1.301200,1.310500,1.299900,1.309100,43575
2024-12-01 21:00:00,1.309200,1.313200,1.307200,1.310600,78439
2024-12-01 21:15:00,1.310700,1.315600,1.310000,1.314600,30178
2024-12-01 21:30:00,1.314100,1.314800,1.311400,1.312900,28993
2024-12-01 21:45:00,1.312800,1.315300,1.309200,1.310200,50472
2024-12-01 22:00:00,1.309900,1.315700,1.307600,1.308200,37050
2024-12-01 22:15:00,1.307900,1.311300,1.304300,1.305100,45054
2024-12-01 22:30:00,1.305700,1.312700,1.305200,1.310400,21931
2024-12-01 22:45:00,1.311400,1.318000,1.311000,1.317900,8752
2024-12-01 23:00:00,1.317800,1.328800,1.317500,1.328800,42558
2024-12-01 23:15:00,1.328700,1.332400,1.327200,1.328300,98598
2024-12-01 23:30:00,1.328800,1.331200,1.318900,1.319400,153771
2024-12-01 23:45:00,1.319300,1.323400,1.314000,1.318100,75309
2024-12-02 00:00:00,1.318000,1.322800,1.307900,1.316200,177869
2024-12-02 00:15:00,1.315900,1.318600,1.309000,1.312400,105204
2024-12-02 00:30:00,1.312200,1.319300,1.310700,1.316500,74302
2024-12-02 00:45:00,1.316400,1.316400,1.298400,1.306800,118370
2024-12-02 01:00:00,1.307400,1.308900,1.300800,1.301400,151677
2024-12-02 01:15:00,1.301200,1.306100,1.295600,1.303400,128031
2024-12-02 01:30:00,1.303500,1.304000,1.294700,1.301300,182739
2024-12-02 01:45:00,1.301500,1.314400,1.298700,1.313000,68510
2024-12-02 02:00:00,1.313000,1.316000,1.302400,1.303900,80913
2024-12-02 02:15:00,1.303300,1.304400,1.289300,1.298200,102444
2024-12-02 02:30:00,1.298100,1.299400,1.291700,1.298200,41636
2024-12-02 02:45:00,1.298800,1.308000,1.297300,1.306500,38951
2024-12-02 03:00:00,1.306800,1.311500,1.303200,1.309900,117106
